path,line,kind,owner,name,type,modifiers,scope
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","CONSTRUCTOR","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","<init>","(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","PARAMETER","BattleEndedEvent(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","player","net.minecraft.server.level.ServerPlayer","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","PARAMETER","BattleEndedEvent(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","battle","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","PARAMETER","BattleEndedEvent(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","outcome","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","PARAMETER","BattleEndedEvent(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","reason","java.lang.String","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","PARAMETER","BattleEndedEvent(net.minecraft.server.level.ServerPlayer,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo,xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome,java.lang.String,xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange)","score","xiaocaoawa.minecraft.mod.cobblebattle.api.ScoreChange","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","player","net.minecraft.server.level.ServerPlayer","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","battle","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleInfo","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","outcome","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleOutcome","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","reason","java.lang.String","[private, final]","兼容接口待审查"
